Speaker Analysis Results (sorted by duration)
===========================================

Total speakers found: 932

Speaker Name                                  | Duration (hours)
spk_ar_el_v2_224                                 |           0.00
spk_ar_el_v2_225                                 |           0.00
spk_ar_el_v2_226                                 |           0.00
spk_ar_el_v2_227                                 |           0.00
spk_ar_el_v2_228                                 |           0.00
spk_ar_el_v2_229                                 |           0.00
spk_ar_el_v2_230                                 |           0.00
spk_ar_el_v2_231                                 |           0.00
spk_ar_el_v2_232                                 |           0.00
spk_ar_el_v2_233                                 |           0.00
spk_ar_el_v2_234                                 |           0.00
spk_ar_el_v2_235                                 |           0.00
spk_ar_el_v2_236                                 |           0.00
spk_ar_el_v2_237                                 |           0.00
spk_ar_el_v2_238                                 |           0.00
spk_ar_el_v2_239                                 |           0.00
spk_ar_el_v2_240                                 |           0.00
spk_ar_el_v2_241                                 |           0.00
spk_ar_el_v2_242                                 |           0.00
spk_ar_el_v2_243                                 |           0.00
spk_ar_el_v2_244                                 |           0.00
spk_ar_el_v2_245                                 |           0.00
spk_ar_el_v2_246                                 |           0.00
spk_ar_el_v2_247                                 |           0.00
spk_ar_el_v2_248                                 |           0.00
spk_ar_el_v2_249                                 |           0.00
spk_ar_el_v2_250                                 |           0.00
spk_ar_el_v2_251                                 |           0.00
spk_ar_el_v2_252                                 |           0.00
spk_ar_el_v2_253                                 |           0.00
spk_ar_el_v2_254                                 |           0.00
spk_ar_el_v2_255                                 |           0.00
spk_ar_el_v2_256                                 |           0.00
spk_ar_el_v2_257                                 |           0.00
spk_ar_el_v2_258                                 |           0.00
spk_ar_el_v2_259                                 |           0.00
spk_ar_el_v2_260                                 |           0.00
spk_ar_el_v2_261                                 |           0.00
spk_ar_el_v2_262                                 |           0.00
spk_ar_el_v2_263                                 |           0.00
spk_ar_el_v2_264                                 |           0.00
spk_ar_el_v2_265                                 |           0.00
spk_ar_el_v2_266                                 |           0.00
spk_ar_el_v2_267                                 |           0.00
spk_ar_el_v2_268                                 |           0.00
spk_ar_el_v2_269                                 |           0.00
spk_ar_el_v2_270                                 |           0.00
spk_ar_el_v2_271                                 |           0.00
spk_ar_el_v2_272                                 |           0.00
spk_ar_el_v2_273                                 |           0.00
spk_ar_el_v2_274                                 |           0.00
spk_ar_el_v2_275                                 |           0.00
spk_ar_el_v2_276                                 |           0.00
spk_ar_el_v2_277                                 |           0.00
spk_ar_el_v2_278                                 |           0.00
spk_ar_el_v2_279                                 |           0.00
spk_ar_el_v2_280                                 |           0.00
spk_ar_el_v2_281                                 |           0.00
